"ID";"Aktywny (0 lub 1)";"Nazwa"
"0000XA2931";1;"Puchowa parka z kapturem"
"0000XA2965";1;"Puchowa parka z kapturem"
"9VO7VI2726";1;"VISTULA|PZPN - Wełniana kurtka typu bomber"
"0000XA1848";1;"Puchowa kurtka"
"0000XA1829";1;"Puchowa parka z kapturem"
"0000XA2663";1;"Puchowa parka z kapturem"
"0000XA2930";1;"Puchowa kurtka z kapturem"
"0000XA1712";1;"Sportowa kurtka z łączonych materiałów"
"0000XA2908";1;"Kurtka z wypełnieniem z recyklingu"
"0000XA2932";1;"Puchowa kurtka z kapturem"
"0000XA2934";1;"Puchowa kurtka z kapturem"
"0000XA1662";1;"Parka z technicznej tkaniny"
"0000XA1663";1;"Parka z technicznej tkaniny"
"0000XA1828";1;"Parka z technicznej tkaniny"
"9V47VI1582";1;"Dwurzędowa kurtka"
"9V47VI1659";1;"Dwurzędowa kurtka"
"0000XA1695";1;"Krótka puchowa parka"
"0000XA1550";1;"Puchowa kurtka ze stójką"
"0000XA1551";1;"Puchowa kurtka ze stójką"
"0000XA1708";1;"Puchowa kurtka ze stójką"
"0000XA2151";1;"Puchowa bomberka pikowana"
"0000XA2152";1;"Puchowa bomberka pikowana"
"0000XA0904";1;"Parka z kapturem"
"0000XA1665";1;"Krótka puchowa kurtka"
"0000XA2562";1;"Skórzana kurtka ze stójką"
"0000XA2945";1;"Skórzana kurtka z pikowaniem"
"0000XA2531";1;"Skórzana kurtka ze stójką"
"0000XA2500";1;"Skórzana kurtka"
"0000RX2078";1;"Jeansowa kurtka"
"9O98VI2713";1;"Jednorzędowy płaszcz"
"9O98VI2714";1;"Jednorzędowy płaszcz"
"0000XA2921";1;"Płaszcz z gładkiej tkaniny"
"9V93RE1546";1;"Luźny płaszcz w kratę"
"9O98VI1648";1;"Płaszcz w delikatny deseń"
"0000XA1703";1;"Ocieplany płaszcz z domieszką wełny"
"9O98VI1583";1;"Płaszcz w delikatny deseń"
"9O97VI1661";1;"Klasyczny płaszcz w kratę"
"9O97VI1662";1;"Klasyczny płaszcz w kratę"
"9O98VI1647";1;"Płaszcz w delikatny deseń"
"0000XA2923";1;"Jednorzędowy płaszcz w pepitę"
"0000XA1696";1;"Płaszcz z tkaniny technicznej"
"0000XA2979";1;"VISTULA|PZPN - Polo z wełny merino"
"0000XA2854";1;"Wełniany sweter z dodatkiem jedwabiu"
"0000XA2875";1;"Wełniany sweter z dodatkiem jedwabiu"
"0000RX2502";1;"Sweter o warkoczowym spocie"
"0000XA2855";1;"Strukturalny sweter z melanżowej dzianiny"
"0000XA0774";1;"Wełniany sweter typu round-neck w prążek"
"0000XA0933";1;"Wełniany sweter typu round-neck w prążek"
"0000XA1836";1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu"
"0000XA1837";1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu"
"0000XA1838";1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu"
"0000XA1839";1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu"
"0000XA1824";1;"Sweter ze stójką z dzianiny bawełnianej"
"0000XA1825";1;"Sweter ze stójką z dzianiny bawełnianej"
"0000XA1826";1;"Sweter ze stójką z dzianiny bawełnianej"
"0000XA1821";1;"Sweter z dzianiny bawełnianej"
"0000XA1822";1;"Sweter z dzianiny bawełnianej"
"0000XA1823";1;"Sweter z dzianiny bawełnianej"
"0000XA1747";1;"Sweter z wzorem"
"0000XA1748";1;"Sweter z wzorem"
"0000XA1749";1;"Sweter z wzorem"
"0000XA1750";1;"Sweter z wzorem"
"0000XA1751";1;"Sweter z wzorem"
"0000XA2630";1;"Sweter typu round-neck z wełny merino"
"0000XA2631";1;"Sweter typu round-neck z wełny merino"
"0000XA2853";1;"Strukturalny sweter zapinany na zamek"
"0000XA2850";1;"Golf o strukturalnym splocie"
"0000XA2851";1;"Golf o strukturalnym splocie"
"0000XA1779";1;"Wywijany golf z prążkowanej dzianiny"
"0000XA1780";1;"Wywijany golf z prążkowanej dzianiny"
"0000XA1777";1;"Wywijany golf z prążkowanej dzianiny"
"0000XA2898";1;"Sweter ze stójką z dzianiny bawełnianej"
"0000XA2949";1;"Golf z prążkowanej dzianiny"
"0000XA2960";1;"Golf z prążkowanej dzianiny"
"0000XA2961";1;"Golf z prążkowanej dzianiny"
"0000XA1832";1;"Wełniany golf z dodatkiem poliamidu i jedwabiu"
"0000XA1833";1;"Wełniany golf z dodatkiem poliamidu i jedwabiu"
"0000XA2920";1;"Golf z wełny merino"
"0000XA2597";1;"Golf z wełny merino"
"0000XA2591";1;"Golf z wełny merino"
"0000XA2592";1;"Golf z wełny merino"
"0000XA2593";1;"Golf z wełny merino"
"0000XA2594";1;"Golf z wełny merino"
"0000XA2595";1;"Golf z wełny merino"
"0000XA2596";1;"Golf z wełny merino"
"0000XA1808";1;"Lekki, wełniany golf"
"0000XA1809";1;"Lekki, wełniany golf"
"0000XA1810";1;"Lekki, wełniany golf"
"0000XA1811";1;"Lekki, wełniany golf"
"0000XA2554";1;"Bawełniany półgolf"
"0000XA2537";1;"Jeansy o prostym kroju"
"0000XA2533";1;"Jeansy z przetarciami"
"0000XA2535";1;"Jeansy z przetarciami"
"0000XA2534";1;"Jeansy o prostym kroju"
"0000XA2536";1;"Jeansy o prostym kroju"
"0000XA1859";1;"Klasyczne jeansy z przetarciami"
"0000XA2188";1;"Jeansy"
"0000XA2420";1;"Jeansy o luźnym kroju"
"0000XA9247";1;"Jeansy"
"7A76VI2726";1;"VISTULA|PZPN - Wełniane spodnie"
"0000XA2608";1;"Chinosy o kroju slim fit"
"0000XA2841";1;"Chinosy o kroju slim fit"
"0000XA2607";1;"Chinosy o kroju slim fit"
"0000XA2609";1;"Chinosy o kroju slim fit"
"0000XA2610";1;"Chinosy o kroju slim fit"
"0000XA2604";1;"Chinosy w o kroju slim fit w kratę"
"0000XA2605";1;"Chinosy o kroju slim fit w kratę"
"0000XA2606";1;"Chinosy o kroju slim fit w kratę"
"0000XA2601";1;"Chinosy o kroju slim fit w kratę"
"0000XA2565";1;"Chinosy o kroju slim fit"
"0000XA2844";1;"Sztruksowe spodnie o kroju slim fit"
"0000XA2843";1;"Sztruksowe spodnie o kroju slim fit"
"0000XA2845";1;"Sztruksowe spodnie o kroju slim fit"
"0000XA2935";1;"Spodnie o kroju regular"
"0000XA2936";1;"Spodnie o kroju regular"
"0000XA2937";1;"Spodnie o kroju regular"
"0000XA1740";1;"Sztruksowe spodnie slim fit"
"0000XA1742";1;"Spodnie o kroju slim fit"
"0000XA1743";1;"Spodnie o kroju slim fit"
"0000XA2564";1;"Chinosy o kroju slim fit"
"0000XA1509";1;"Sztruksowe spodnie"
"0000XA1737";1;"Sztruksowe spodnie"
"0000XA1738";1;"Sztruksowe spodnie"
"0000RX2512";1;"Bluza z okrągłym tłoczeniem"
"0000XA2840";1;"Bluza z kapturem"
"0000XA2952";1;"Bluza z kapturem"
"0000XA2963";1;"Bluza z kapturem"
"0000XA2522";1;"Bluza z logo"
"0000XA2523";1;"Bluza z logo"
"0000XA2524";1;"Bluza z logo"
"0000XA1692";1;"Bluza z bawełny pima"
"0000XA1693";1;"Bluza z bawełny pima"
"0000XA1694";1;"Bluza z bawełny pima"
"0000RX2511";1;"Bluza z haftem"
"0000XA2840";1;"Bluza z kapturem"
"0000XA2952";1;"Bluza z kapturem"
"0000XA2963";1;"Bluza z kapturem"
"0000XA1713";1;"Sportowa bluza z ozdobnymi lampasami"
"0000XA1714";1;"Sportowa bluza z ozdobnymi lampasami"
"0000XA2868";1;"Spodnie dresowe"
"0000XA2953";1;"Spodnie dresowe"
"0000XA2840";1;"Bluza z kapturem"
"0000XA2952";1;"Bluza z kapturem"
"0000XA1713";1;"Sportowa bluza z ozdobnymi lampasami"
"0000XA1714";1;"Sportowa bluza z ozdobnymi lampasami"
"0000XA1867";1;"Spodnie dresowe z przeszyciami"
"0000RX1533";1;"Spodnie dresowe z ozdobnymi lampasami"
"0000RX1534";1;"Spodnie dresowe z ozdobnymi lampasami"
"0000XA1643";1;"Joggery cargo"
"0000RX2513";1;"Spodnie dzianinowe z przeszyciami"
"0000XA2868";1;"Spodnie dresowe"
"0000XA2953";1;"Spodnie dresowe"
"0000XA1715";1;"Joggery z ozdobnymi lampasami"
"0000XA1716";1;"Joggery z ozdobnymi lampasami"
"0000XA2571";1;"Spodnie dzianinowe o kroju slim fit z przeszyciami"
"2VV9VI2730";1;"VISTULA|PZPN - Wełniany garnitur o kroju super slim"
"2V60LT2533";1;"Garnitur o kroju super slim w kratę"
"2V29VI2502";1;"Garnitur o kroju super slim w kratę"
"2VD4VI2692";1;"Garnitur o kroju super slim"
"1VK4VI2515";1;"Garnitur 3-częściowy o kroju super slim"
"2V38VI2689";1;"Garnitur o kroju slim fit w kratę"
"2V29VI2680";1;"Garnitur o kroju super slim w mikrowzór"
"2OZ3VI2568";1;"Garnitur o kroju super slim w kratę"
"2VI5VI2693";1;"Garnitur o kroju slim w mikrowzór"
"2V21VI1654";1;"Garnitur o kroju super slim"
"2N62VI2568";1;"Garnitur o kroju slim fit w kratę"
"2V95VI2693";1;"Garnitur o kroju super slim w mikrowzór"
"2V60LT2517";1;"Garnitur o kroju super slim w kratę"
"1VX9VI2688";1;"Garnitur 3-częściowy o kroju super slim"
"2O12VI2688";1;"Garnitur o kroju super slim"
"2V95VI1667";1;"Garnitur o kroju super slim"
"2V95VI1668";1;"Garnitur o kroju super slim"
"2V96VI2145";1;"Garnitur o kroju super slim"
"2OZ2VI2076";1;"Garnitur o kroju super slim w mikrowzór"
"2V98LT2008";1;"Garnitur o kroju slim fit w kratę"
"2O12VI2152";1;"Garnitur o kroju super slim"
"1VY1VI2145";1;"Garnitur 3-częściowy o kroju super slim"
"2V95VI2630";1;"Garnitur o kroju super slim w mikrowzór"
"2O12VI2155";1;"Garnitur o kroju super slim"
"7L92BV0101";1;"MIX & MATCH - Spodnie super slim do garnituru"
"6C59BV0102";1;"MIX & MATCH - Klasyczna marynarka wełniana do garnituru"
"7C60BV0102";1;"MIX & MATCH - Klasyczne spodnie do garnituru"
"6C59BV0103";1;"Marynarka slim fit do garnituru"
"6BZ6BV0103";1;"Klasyczna marynarka"
"6K92BV0104";1;"MIX & MATCH - Marynarka super slim do garnituru"
"7L92BV0104";1;"MIX & MATCH - Spodnie super slim do garnituru"
"6Q69BV7102";1;"MIX & MATCH - Marynarka slim fit do garnituru"
"7Q70BV7102";1;"MIX & MATCH - Spodnie slim fit do garnituru"
"6C59BV7103";1;"MIX & MATCH - Marynarka o kroju slim fit do garnituru"
"7C60BV7103";1;"MIX & MATCH - Spodnie slim fit do garnituru"
"6Q71BV9106";1;"MIX & MATCH - Marynarka super slim do garnituru"
"7Q72BV9106";1;"MIX & MATCH - Spodnie super slim do garnituru"
"6F57VB6749";1;"MIX & MATCH - Marynarka slim fit do garnituru"
"7LX9VB6749";1;"MIX & MATCH - Spodnie slim fit do garnituru"
"6K89VB6750";1;"MIX & MATCH - Marynarka super slim do garnituru"
"7L93VB6750";1;"MIX & MATCH - Spodnie super slim do garnituru"
"6C59BV0101";1;"MIX & MATCH - Marynarka slim fit do garnituru"
"7K93BV0101";1;"MIX & MATCH - Spodnie slim fit do garnituru"
"6K92BV0101";1;"MIX & MATCH - Marynarka super slim do garnituru"
"8Q86VI2502";1;"Kamizelka o kroju super slim w kratę"
"8F59BV0104";1;"Kamizelka"
"8L76BV0104";1;"Kamizelka"
"8Q86VI2144";1;"Wełniana kamizelka w kratę"
"8Q86VI2146";1;"Wełniana kamizelka w kratę"
"8N91VI2149";1;"Wełniana kamizelka"
"8Q86VI1636";1;"Wełniana kamizelka w kratę"
"6V41VI2698";1;"Marynarka slim fit w kratę"
"6VK8VI2585";1;"Marynarka o kroju super slim w mikrowzór"
"6V11VI2697";1;"Marynarka o kroju super slim w kratę"
"6V32VI1542";1;"Marynarka super slim w kratę"
"6VI6VI2518";1;"Marynarka o kroju super slim w pepitę"
"6VC5LT2514";1;"Marynarka o kroju super slim w kratę"
"6M76VI2505";1;"Marynarka o kroju super slim w mikrowzór"
