"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena bez podatku. (netto)"
1;1;"Puchowa parka z kapturem";"TataKobasa";"1099,90"
2;1;"Puchowa parka z kapturem";"TataKobasa";"1099,90"
3;1;"VISTULA|PZPN - Wełniana kurtka typu bomber";"TataKobasa";"1599,90"
4;1;"Puchowa kurtka";"TataKobasa";"999,90"
5;1;"Puchowa parka z kapturem";"TataKobasa";"1099,90"
6;1;"Puchowa parka z kapturem";"TataKobasa";"1099,90"
7;1;"Puchowa kurtka z kapturem";"TataKobasa";"1099,90"
8;1;"Sportowa kurtka z łączonych materiałów";"TataKobasa";"699,90"
9;1;"Kurtka z wypełnieniem z recyklingu";"TataKobasa";"799,90"
10;1;"Puchowa kurtka z kapturem";"TataKobasa";"599,90"
11;1;"Puchowa kurtka z kapturem";"TataKobasa";"599,90"
12;1;"Parka z technicznej tkaniny";"TataKobasa";"799,90"
13;1;"Parka z technicznej tkaniny";"TataKobasa";"799,90"
14;1;"Parka z technicznej tkaniny";"TataKobasa";"799,90"
15;1;"Dwurzędowa kurtka";"TataKobasa";"1199,90"
16;1;"Dwurzędowa kurtka";"TataKobasa";"1199,90"
17;1;"Krótka puchowa parka";"TataKobasa";"999,90"
18;1;"Puchowa kurtka ze stójką";"TataKobasa";"799,90"
19;1;"Puchowa kurtka ze stójką";"TataKobasa";"799,90"
20;1;"Puchowa kurtka ze stójką";"TataKobasa";"799,90"
21;1;"Puchowa bomberka pikowana";"TataKobasa";"599,90"
22;1;"Puchowa bomberka pikowana";"TataKobasa";"599,90"
23;1;"Parka z kapturem";"TataKobasa";"699,90"
24;1;"Krótka puchowa kurtka";"TataKobasa";"999,90"
25;1;"Skórzana kurtka ze stójką";"TataKobasa";"1499,90"
26;1;"Skórzana kurtka z pikowaniem";"TataKobasa";"1799,90"
27;1;"Skórzana kurtka ze stójką";"TataKobasa";"1499,90"
28;1;"Skórzana kurtka";"TataKobasa";"1699,90"
29;1;"Jeansowa kurtka";"TataKobasa";"649,90"
30;1;"Jednorzędowy płaszcz";"TataKobasa";"1299,90"
31;1;"Jednorzędowy płaszcz";"TataKobasa";"1299,90"
32;1;"Płaszcz z gładkiej tkaniny";"TataKobasa";"799,90"
33;1;"Luźny płaszcz w kratę";"TataKobasa";"1199,90"
34;1;"Płaszcz w delikatny deseń";"TataKobasa";"1299,90"
35;1;"Ocieplany płaszcz z domieszką wełny";"TataKobasa";"1299,90"
36;1;"Płaszcz w delikatny deseń";"TataKobasa";"1299,90"
37;1;"Klasyczny płaszcz w kratę";"TataKobasa";"1499,90"
38;1;"Klasyczny płaszcz w kratę";"TataKobasa";"1499,90"
39;1;"Płaszcz w delikatny deseń";"TataKobasa";"1299,90"
40;1;"Jednorzędowy płaszcz w pepitę";"TataKobasa";"999,90"
41;1;"Płaszcz z tkaniny technicznej";"TataKobasa";"1299,90"
42;1;"VISTULA|PZPN - Polo z wełny merino";"TataKobasa";"299,90"
43;1;"Wełniany sweter z dodatkiem jedwabiu";"TataKobasa";"299,90"
44;1;"Wełniany sweter z dodatkiem jedwabiu";"TataKobasa";"299,90"
45;1;"Sweter o warkoczowym spocie";"TataKobasa";"349,90"
46;1;"Strukturalny sweter z melanżowej dzianiny";"TataKobasa";"299,90"
47;1;"Wełniany sweter typu round-neck w prążek";"TataKobasa";"379,90"
48;1;"Wełniany sweter typu round-neck w prążek";"TataKobasa";"379,90"
49;1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu";"TataKobasa";"279,90"
50;1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu";"TataKobasa";"279,90"
51;1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu";"TataKobasa";"279,90"
52;1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu";"TataKobasa";"279,90"
53;1;"Sweter ze stójką z dzianiny bawełnianej";"TataKobasa";"349,90"
54;1;"Sweter ze stójką z dzianiny bawełnianej";"TataKobasa";"349,90"
55;1;"Sweter ze stójką z dzianiny bawełnianej";"TataKobasa";"349,90"
56;1;"Sweter z dzianiny bawełnianej";"TataKobasa";"299,90"
57;1;"Sweter z dzianiny bawełnianej";"TataKobasa";"299,90"
58;1;"Sweter z dzianiny bawełnianej";"TataKobasa";"299,90"
59;1;"Sweter z wzorem";"TataKobasa";"249,90"
60;1;"Sweter z wzorem";"TataKobasa";"249,90"
61;1;"Sweter z wzorem";"TataKobasa";"249,90"
62;1;"Sweter z wzorem";"TataKobasa";"249,90"
63;1;"Sweter z wzorem";"TataKobasa";"249,90"
64;1;"Sweter typu round-neck z wełny merino";"TataKobasa";"349,90"
65;1;"Sweter typu round-neck z wełny merino";"TataKobasa";"349,90"
66;1;"Strukturalny sweter zapinany na zamek";"TataKobasa";"349,90"
67;1;"Golf o strukturalnym splocie";"TataKobasa";"349,90"
68;1;"Golf o strukturalnym splocie";"TataKobasa";"349,90"
69;1;"Wywijany golf z prążkowanej dzianiny";"TataKobasa";"219,90"
70;1;"Wywijany golf z prążkowanej dzianiny";"TataKobasa";"219,90"
71;1;"Wywijany golf z prążkowanej dzianiny";"TataKobasa";"219,90"
72;1;"Sweter ze stójką z dzianiny bawełnianej";"TataKobasa";"349,90"
73;1;"Golf z prążkowanej dzianiny";"TataKobasa";"219,90"
74;1;"Golf z prążkowanej dzianiny";"TataKobasa";"219,90"
75;1;"Golf z prążkowanej dzianiny";"TataKobasa";"219,90"
76;1;"Wełniany golf z dodatkiem poliamidu i jedwabiu";"TataKobasa";"299,90"
77;1;"Wełniany golf z dodatkiem poliamidu i jedwabiu";"TataKobasa";"299,90"
78;1;"Golf z wełny merino";"TataKobasa";"349,90"
