"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena bez podatku. (netto)";"ID reguły podatku";"Koszt własny";"W sprzedaży (0 lub 1)";"Wartość rabatu";"Procent rabatu";"Rabat od dnia (rrrr-mm-dd)";"Rabat do dnia (rrrr-mm-dd)";"Indeks #";"Kod dostawcy";"Dostawca";"Marka";"kod EAN13";"Kod kreskowy UPC";"MPN";"Podatek ekologiczny";"Szerokość";"Wysokość";"Głębokość";"Waga";"Czas dostawy produktów dostępnych w magazynie:";"Czas dostawy wyprzedanych produktów z możliwością rezerwacji:";"Ilość";"Minimalna ilość";"Niski poziom produktów w magazynie";"Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu";"Widoczność";"Dodatkowe koszty przesyłki";"Jednostka dla ceny za jednostkę";"Cena za jednostkę";"Podsumowanie";"Opis";"Tagi (x,y,z...)";"Meta-tytuł";"Słowa kluczowe meta";"Opis meta";"Przepisany URL";"Etykieta, gdy w magazynie";"Etykieta kiedy dozwolone ponowne zamówienie";"Dostępne do zamówienia (0 = Nie, 1 = Tak)";"Data dostępności produktu";"Data wytworzenia produktu";"Pokaż cenę (0 = Nie, 1 = Tak)";"Adresy URL zdjęcia (x,y,z...)"
1;1;"Puchowa parka z kapturem";"TataKobasa";"1099,90";1;"";0;"";"";"";"";"0000XA2931";"";"";"";"";"";"";"";"";"";"";"";"";"";37;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"<p>Puchowa kurtka w kolorze granatowym. Zapinana jest na zamek błyskawiczny, kryty plisą zapinaną na napy. Kurtka posiada regulowany kaptur, w pasie sznurek do regulacji obwodu oraz naturalne wypełnienie z puchu kaczego z dodatkiem pierza. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-vistula-134264.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134256.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134264.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134256.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134268.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134260.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134272.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134280.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134284.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134276.jpg"
2;1;"Puchowa parka z kapturem";"TataKobasa";"1099,90";1;"";0;"";"";"";"";"0000XA2965";"";"";"";"";"";"";"";"";"";"";"";"";"";28;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"<p>Puchowa kurtka w kolorze bordowym. Zapinana jest na zamek błyskawiczny, kryty plisą zapinaną na napy. Kurtka posiada regulowany kaptur, w pasie sznurek do regulacji obwodu oraz naturalne wypełnienie z puchu kaczego z dodatkiem pierza. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/bordowa-kurtka-vistula-134304.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134316.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134304.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134316.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134320.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134312.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134300.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134332.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134340.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134328.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134336.jpg"
3;1;"VISTULA|PZPN - Wełniana kurtka typu bomber";"TataKobasa";"1599,90";1;"";0;"";"";"";"";"9VO7VI2726";"";"";"";"";"";"";"";"";"";"";"";"";"";30;1;5;"";"both";"";"";"";"<p>100% Wełna, podszewka 100% Wiskoza, podszewka rękawów: 100% Wiskoza</p>";"<p>Kurtka męska w kolorze szarym. Posiada kołnierz ze stójką, dwie kieszenie boczne oraz ściągacz na rękawach oraz dole produktu. Zapinana jest na zamek błyskawiczny. Wykonana z tkaniny wełnianej od renomowanego, włoskiego producenta Tallia Di Delfino. Produkt posiada wiskozową podszewkę w piłki.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/szara-kurtka-vistula-133000.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-132968.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-133000.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-132968.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-133044.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-133024.jpg"
4;1;"Puchowa kurtka";"TataKobasa";"999,90";1;"";0;"";"";"";"";"0000XA1848";"";"";"";"";"";"";"";"";"";"";"";"";"";66;1;5;"";"both";"";"";"";"<p>100% Poliamid, podszewka: 100% Poliester, podszewka rękawów: 100% Poliester</p>";"<p>Kurtka męska w kolorze czarnym, z charakterystycznym błyskiem. Zapinana jest na zamek umieszczony asymetrycznie obok cienkiego podłużnego panelu z nadrukowanym logo. Rękawy zakończone ściągaczem z gumą z tkaniny bazowej. Kurtka posiada ukośne kieszenie umieszczone po bokach, na wysokości klatki piersiowej kieszeń umieszczona pionowo (drugi zamek jest ozdobny) oraz dwie atrapy skośnych kieszeni z zamkiem na rękawach. Model na zdjęciu ma 185 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/czarna-kurtka-vistula-133512.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133536.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133512.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133536.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133520.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133592.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133576.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-112466.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-112514.jpg"
5;1;"Puchowa parka z kapturem";"TataKobasa";"1099,90";1;"";0;"";"";"";"";"0000XA1829";"";"";"";"";"";"";"";"";"";"";"";"";"";36;1;5;"";"both";"";"";"";"<p>80% Poliamid, 20% Elastan, podszewka: 100% Poliamid</p>";"<p>Puchowa kurtka w kolorze granatowym. Posiada kieszenie boczne z listewką. Zasuwana jest na zamek błyskawiczny, kryty plisą zapinaną na napy. Kurtka posiada naturalne wypełnienie z puchu kaczego z dodatkiem pierza. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-vistula-132856.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132840.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132856.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132840.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132888.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132836.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132860.jpg"
6;1;"Puchowa parka z kapturem";"TataKobasa";"1099,90";1;"";0;"";"";"";"";"0000XA2663";"";"";"";"";"";"";"";"";"";"";"";"";"";40;1;5;"";"both";"";"";"";"<p>71% Poliester, 23% Wiskoza, 6% Wełna, podszewka: 100% Poliamid, podszewka rękawów: 100% Poliester</p>";"<p>Puchowa kurtka w kolorze granatowym, z regulowanym kapturem. Posiada kieszenie na piersi z listewką oraz dwie kieszenie z przodu zapinane na guziki. Zasuwana jest na zamek błyskawiczny kryty plisą zapinaną na guziki. Kurtka posiada naturalne wypełnienie z puchu kaczego z dodatkiem pierza. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-lantier-131192.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131184.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131192.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131184.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131196.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131188.jpg"
7;1;"Puchowa kurtka z kapturem";"TataKobasa";"1099,90";1;"";0;"";"";"";"";"0000XA2930";"";"";"";"";"";"";"";"";"";"";"";"";"";19;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliester</p>";"<p>Pikowana kurtka w kolorze granatowym. Z przodu posiada duże kieszenie. Produkt z zapinanym kapturem, zasuwany na zamek błyskawiczny kryty plisą zapinaną na napy. Kurtka posiada wypełnienie z puchu kaczego i pierzy. Model na zdjęciu ma 186,5 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-vistula-130040.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130032.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130040.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130032.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130068.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130016.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130044.jpg"
8;1;"Sportowa kurtka z łączonych materiałów";"TataKobasa";"699,90";1;"";0;"";"";"";"";"0000XA1712";"";"";"";"";"";"";"";"";"";"";"";"";"";68;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 95% Poliester, 5% Elastan</p>";"<p>Kurtka sportowa w kolorze czarnym. Posiada kieszenie boczne zasuwane na zamek oraz mniejszą kieszonkę na piersi. Zapinana na gumowy zamek błyskawiczny. Wykonana z łączonych materiałów. Model na zdjęciu ma 188 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/czarna-kurtka-vistula-130028.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130056.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130028.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130056.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130072.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130048.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-125299.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-125247.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130100.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-125271.jpg"
9;1;"Kurtka z wypełnieniem z recyklingu";"TataKobasa";"799,90";1;"";0;"";"";"";"";"0000XA2908";"";"";"";"";"";"";"";"";"";"";"";"";"";29;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"<p>Pikowana kurtka w kolorze szarym. Posiada duże kieszenie z przodu, zapinane na napy. Produkt z regulowanym kapturem, zasuwany na zamek błyskawiczny kryty plisą zapinaną na napy. Kurtka posiada wypełnienie z poliestru z recyklingu. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/szara-kurtka-vistula-127785.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127789.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127785.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127789.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127809.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127797.jpg"
10;1;"Puchowa kurtka z kapturem";"TataKobasa";"599,90";1;"";0;"";"";"";"";"0000XA2932";"";"";"";"";"";"";"";"";"";"";"";"";"";26;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliester</p>";"<p>Pikowana kurtka w kolorze czarnym. Posiada kieszenie boczne zasuwane na zamek, zapinana jest na zamek błyskawiczny. Kurtka posiada naturalne wypełnienie z puchu kaczego z dodatkiem pierzy. Wykonana z wodoodpornej tkaniny. Produkt z możliwością spakowania do małej torby. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-vistula-129816.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129792.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129816.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129792.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129896.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129828.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129804.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129988.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129956.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129936.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129944.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129976.jpg"
