"Identyfikator Produktu (ID)";"Indeks produktu";"Atrybut (Nazwa:Typ:Pozycja)*";"Wartość (Wartość:Pozycja)*"
1;"";"Rozmiar:select:1";"46"
1;"";"Rozmiar:select:1";"48"
1;"";"Rozmiar:select:1";"50"
1;"";"Rozmiar:select:1";"52"
1;"";"Rozmiar:select:1";"54"
1;"";"Rozmiar:select:1";"56"
1;"";"Rozmiar:select:1";"58"
1;"";"Rozmiar:select:1";"60"
2;"";"Rozmiar:select:1";"46"
2;"";"Rozmiar:select:1";"48"
2;"";"Rozmiar:select:1";"50"
2;"";"Rozmiar:select:1";"52"
2;"";"Rozmiar:select:1";"54"
2;"";"Rozmiar:select:1";"56"
2;"";"Rozmiar:select:1";"58"
3;"";"Rozmiar:select:1";"48"
3;"";"Rozmiar:select:1";"50"
3;"";"Rozmiar:select:1";"52"
3;"";"Rozmiar:select:1";"54"
4;"";"Rozmiar:select:1";"S"
4;"";"Rozmiar:select:1";"M"
4;"";"Rozmiar:select:1";"L"
4;"";"Rozmiar:select:1";"XL"
4;"";"Rozmiar:select:1";"XXL"
5;"";"Rozmiar:select:1";"48"
5;"";"Rozmiar:select:1";"50"
5;"";"Rozmiar:select:1";"52"
5;"";"Rozmiar:select:1";"54"
5;"";"Rozmiar:select:1";"56"
5;"";"Rozmiar:select:1";"58"
5;"";"Rozmiar:select:1";"60"
6;"";"Rozmiar:select:1";"46"
6;"";"Rozmiar:select:1";"48"
6;"";"Rozmiar:select:1";"50"
6;"";"Rozmiar:select:1";"52"
6;"";"Rozmiar:select:1";"54"
6;"";"Rozmiar:select:1";"56"
6;"";"Rozmiar:select:1";"58"
7;"";"Rozmiar:select:1";"46"
7;"";"Rozmiar:select:1";"48"
7;"";"Rozmiar:select:1";"50"
7;"";"Rozmiar:select:1";"52"
7;"";"Rozmiar:select:1";"54"
7;"";"Rozmiar:select:1";"56"
7;"";"Rozmiar:select:1";"58"
8;"";"Rozmiar:select:1";"S"
8;"";"Rozmiar:select:1";"M"
8;"";"Rozmiar:select:1";"L"
8;"";"Rozmiar:select:1";"XL"
8;"";"Rozmiar:select:1";"XXL"
9;"";"Rozmiar:select:1";"48"
9;"";"Rozmiar:select:1";"50"
9;"";"Rozmiar:select:1";"52"
