"Identyfikator Produktu (ID)";"Indeks produktu";"Atrybut (Nazwa:Typ:Pozycja)*";"Wartość (Wartość:Pozycja)*";"Identyfikator dostawcy";"Indeks";"kod EAN13";"Kod kreskowy UPC";"MPN";"Koszt własny";"Wpływ na cenę";"Podatek ekologiczny";"Ilość"
1;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";48
1;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";30
1;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";35
1;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";26
1;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";31
1;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";40
1;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";34
1;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";47
2;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";25
2;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";32
2;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";16
2;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";27
2;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";11
2;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";36
2;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";23
3;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";10
3;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";17
3;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";26
3;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";48
4;"";"Rozmiar:select:1";"S";"";"";"";"";"";"";"";"";11
4;"";"Rozmiar:select:1";"M";"";"";"";"";"";"";"";"";19
4;"";"Rozmiar:select:1";"L";"";"";"";"";"";"";"";"";16
4;"";"Rozmiar:select:1";"XL";"";"";"";"";"";"";"";"";11
4;"";"Rozmiar:select:1";"XXL";"";"";"";"";"";"";"";"";32
5;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";25
5;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";44
5;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";10
5;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";29
5;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";39
5;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";38
5;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";27
6;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";30
6;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";15
6;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";41
6;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";27
6;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";46
6;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";42
6;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";20
7;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";14
7;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";28
7;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";40
7;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";31
7;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";47
7;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";31
7;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";29
8;"";"Rozmiar:select:1";"S";"";"";"";"";"";"";"";"";22
8;"";"Rozmiar:select:1";"M";"";"";"";"";"";"";"";"";11
8;"";"Rozmiar:select:1";"L";"";"";"";"";"";"";"";"";12
8;"";"Rozmiar:select:1";"XL";"";"";"";"";"";"";"";"";18
8;"";"Rozmiar:select:1";"XXL";"";"";"";"";"";"";"";"";36
9;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";14
9;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";32
9;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";35
9;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";23
9;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";49
9;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";38
10;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";41
10;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";44
10;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";48
10;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";31
10;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";23
10;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";21
10;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";20
10;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";45
11;"";"Rozmiar:select:1";"46";"";"";"";"";"";"";"";"";30
11;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";14
11;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";48
11;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";26
11;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";47
11;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";38
11;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";21
11;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";37
12;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";31
12;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";29
12;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";47
12;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";34
12;"";"Rozmiar:select:1";"56";"";"";"";"";"";"";"";"";17
12;"";"Rozmiar:select:1";"58";"";"";"";"";"";"";"";"";39
12;"";"Rozmiar:select:1";"60";"";"";"";"";"";"";"";"";28
13;"";"Rozmiar:select:1";"48";"";"";"";"";"";"";"";"";26
13;"";"Rozmiar:select:1";"50";"";"";"";"";"";"";"";"";47
13;"";"Rozmiar:select:1";"52";"";"";"";"";"";"";"";"";36
13;"";"Rozmiar:select:1";"54";"";"";"";"";"";"";"";"";37
